via,zona,numeri,citta
NICCOLINI GIOVAN BATTISTA ,39 - B,TUTTI,SAN GIULIANO TERME
NICCOLINI GIOVAN BATTISTA ,39 - B,DAL 3 AL 81 DAL 4 AL 78,SAN GIULIANO TERME
NICCOLINI GIOVAN BATTISTA ,40 - A,85; 87 DAL 82 AL 90,SAN GIULIANO TERME
NICCOLINI GIOVAN BATTISTA ,50,25,SAN GIULIANO TERME
NICOLODI AURELIO ,11 - B,TUTTI,CASCINA
NICOSIA ,42 - B,TUTTI,CALCI
NIEVO IPPOLITO ,24 - A,TUTTI,PISA
NIEVO IPPOLITO ,24 - B,TUTTI,SAN GIULIANO TERME
NIOSI FRANCESCO ,3 - A,TUTTI,PISA
NISI VENANZIO ,3 - A,TUTTI,PISA
NISTRI GIOVANNI ,39 - A,TUTTI,SAN GIULIANO TERME
NOCELLI ,7 - B,TUTTI,PISA
NOCETTI ,41 - A,TUTTI,CALCI
NORVEGIA ,4 - A,TUTTI,PISA
NOTARI ,16 - B,TUTTI,PISA
NOVECCHIO ,5 - B,TUTTI,PISA
NOVELLA AGOSTINO ,9 - B,TUTTI,CASCINA
NOVELLI ENRICO DETTO YAMBO ,13 - A,TUTTI,PISA
NUDO ,13 - B,TUTTI,PISA
NUGOLAIO ,25 - A,SNC,PISA
NUOVA ,10 - B,TUTTI,CASCINA
NUOVA ,32 - A,TUTTI,VECCHIANO
NUOVA ,41 - B,TUTTI,CALCI
NUOVA ORATOIO ,7 - A,TUTTI,PISA
NUOVO ,39 - B,TUTTI,SAN GIULIANO TERME
NUVOLARI TAZIO ,33 - A,TUTTI,VECCHIANO
OASI ,32 - B,SNC,VECCHIANO
OBERDAN ,33 - B,TUTTI,VECCHIANO
OBERDAN ,42 - B,TUTTI,CALCI
OBERDAN GUGLIELMO ,16 - B,TUTTI,PISA
OCCHIO ,3 - B,TUTTI,PISA
OLBIA ,20 - B,TUTTI,PISA
OLEANDRI ,26 - A,DAL 1 AL 29 DAL 2 AL 22/I,PISA
OLEANDRI ,26 - B,DAL 31 AL  73 DAL 24 AL  52,PISA
OLIVA GIOVAN BATTISTA ,46,8,PISA
OLIVA GIOVAN BATTISTA ,5 - B,TUTTI,PISA
OLIVI ,40 - A,TUTTI,SAN GIULIANO TERME
OLMI ,7 - A,TUTTI,PISA
OLMO ,42 - B,TUTTI,CALCI
OMBERALDI ,42 - B,TUTTI,CALCI
OMODEO ADOLFO ,14 - A,TUTTI,PISA
ONTANETO ,41 - B,SNC,CALCI
ONTANI ,26 - B,TUTTI,PISA
ORAFI ,16 - A,TUTTI,PISA
ORATOIO ,7 - A,DAL 1 AL 71 DAL 2 AL 102,PISA
ORATOIO ,8 - B,SNC,PISA
ORATOIO ,8 - B,DAL 73 AL 157 DAL 104 AL 232/A,PISA
ORCHIDEE ,25 - B,TUTTI,PISA
ORCHIDEE ,31 - A,TUTTI,SAN GIULIANO TERME
ORDINE DI SANTO STEFANO ,27 - A,DAL 81 AL 263 DAL 84/A AL 172,PISA
ORDINE DI SANTO STEFANO ,27 - B,DAL 1/B AL 79 DAL 2 AL  80,PISA
ORIANI ,17 - B,TUTTI,SAN GIULIANO TERME
ORLANDI DEODATO ,28 - B,TUTTI,PISA
ORLANDI ILDEBRANDO ,27 - A,TUTTI,PISA
ORLANDI LAMBERTO ,27 - A,TUTTI,PISA
ORNELLO ,25 - B,TUTTI,PISA
ORO ,2 - B,TUTTI,PISA
ORTENSIE ,26 - B,TUTTI,PISA
OTTO MARZO ,9 - B,TUTTI,CASCINA
OZERETTO ,20 - A,TUTTI,PISA
PACE ,35 - A,TUTTI,VECCHIANO
PACINOTTI ,42 - A,TUTTI,CALCI
PACINOTTI ,43 - B,TUTTI,SAN GIULIANO TERME
PACINOTTI ANTONIO ,23 - B,TUTTI,PISA
PACINOTTI ANTONIO ,34 - B,TUTTI,VECCHIANO
PACINOTTI ANTONIO ,48,33;43;46;49;51,PISA
PACIOLI LUCA ,4 - A,TUTTI,PISA
PADULE ,14 - A,TUTTI,PISA
PADULETTO ,35 - B,TUTTI,VECCHIANO
PADULETTO ,42 - A,TUTTI,CALCI
PAGANELLI ,42 - B,TUTTI,CALCI
PAGANINI NICOLO' ,43 - A,TUTTI,SAN GIULIANO TERME
PAGLIARELLI ,41 - B,TUTTI,CALCI
PALAMIDESSI COSIMO ,40 - B,TUTTI,SAN GIULIANO TERME
PALANCHE ,31 - A,TUTTI,SAN GIULIANO TERME
PALAZZETTO ,15 - A,TUTTI,SAN GIULIANO TERME
PALAZZI ,5 - A,TUTTI,PISA
PALERMO ,20 - B,TUTTI,PISA
PALESTRO ,16 - A,TUTTI,PISA
PALESTRO ,44,39,PISA
PALLA A CORDA ,16 - A,TUTTI,PISA
PANCACCI ,40 - A,TUTTI,SAN GIULIANO TERME
PANCALDI GIOVANNI ,21 - B,TUTTI,PISA
PANCALE ,6 - A,TUTTI,PISA
PANICUCCI SEVERINO ,11 - B,TUTTI,CASCINA
PANORAMICA ,35 - A,TUTTI,VECCHIANO
PANORAMICA ,38 - B,TUTTI,SAN GIULIANO TERME
PANTANI MARCO ,33 - A,TUTTI,VECCHIANO
PAOLI PASQUALE ,45,19,PISA
PAOLO VI ,13 - A,TUTTI,PISA
PAPA GIOVANNI PAOLO II ,38 - A,SNC,SAN GIULIANO TERME
PAPA GIOVANNI XXIII ,30 - A,TUTTI,PISA
PAPA GIOVANNI XXIII ,32 - A,TUTTI,VECCHIANO
PAR DI ROTA ,41 - B,TUTTI,CALCI
PARADISA ,13 - A,TUTTI,PISA
PARADISA ,47,2,PISA
PARADISO ,32 - A,TUTTI,VECCHIANO
PARDELLA ,35 - B,TUTTI,VECCHIANO
PARDI ,43 - B,TUTTI,SAN GIULIANO TERME
PARDI FRANCESCO ,14 - A,TUTTI,PISA
PARDI PASQUALE ,1 - B,TUTTI,PISA
PARDO ROQUES ABRAMO GIUSEPPE ,24 - A,TUTTI,PISA
PARIGI ,13 - B,TUTTI,PISA
PARINI GIUSEPPE ,10 - A,TUTTI,CASCINA
PARINI GIUSEPPE ,15 - A,TUTTI,SAN GIULIANO TERME
PARINI GIUSEPPE ,15 - B,TUTTI,PISA
PARLASCIO ,23 - A,TUTTI,PISA
PARRI FERRUCCIO ,32 - A,TUTTI,VECCHIANO
PASCARELLA CESARE ,17 - B,TUTTI,SAN GIULIANO TERME
PASCOLI GIOVANNI ,2 - B,TUTTI,PISA
PASCOLI GIOVANNI ,39 - B,TUTTI,SAN GIULIANO TERME
PASTEUR LOUIS ,36 - A,TUTTI,SAN GIULIANO TERME
PASTORE GIULIO ,21 - B,TUTTI,PISA
PASTORE GIULIO ,9 - B,TUTTI,CASCINA
PAVESE CESARE ,15 - A,TUTTI,SAN GIULIANO TERME
PAVONCELLA ,32 - A,TUTTI,VECCHIANO
PELLEGRINI ,40 - B,TUTTI,SAN GIULIANO TERME
PELLEGRINI IGNAZIO ,18 - A,TUTTI,PISA
PELLICO SILVIO ,12 - B,TUTTI,CASCINA
PELLICO SILVIO ,3 - A,TUTTI,PISA
PELLICO SILVIO ,37 - A,TUTTI,SAN GIULIANO TERME
PELLIZZI GIOVAN BATTISTA ,18 - A,TUTTI,PISA
PERA LUIGI ,13 - A,TUTTI,PISA
PERGOLESI GIOVAN BATTISTA ,30 - A,TUTTI,PISA
PERLASCA GIORGIO ,6 - A,TUTTI,PISA
PERTINI SANDRO ,29 - B,TUTTI,PISA
PERTINI SANDRO ,35 - B,TUTTI,VECCHIANO
PERUGIA ,20 - B,TUTTI,PISA
PERVIA ,38 - B,SNC,SAN GIULIANO TERME
PESCAIOLA ,36 - A,TUTTI,SAN GIULIANO TERME
PESCINA ,38 - A,TUTTI,SAN GIULIANO TERME
PESCINE ,41 - A,TUTTI,CALCI
PESENTI ANTONIO ,14 - A,TUTTI,PISA
PESSINA DON UMBERTO ,22 - A,TUTTI,PISA
PETRARCA FRANCESCO ,15 - A,TUTTI,SAN GIULIANO TERME
PETRARCA FRANCESCO ,15 - B,TUTTI,PISA
PETRI DORANDO ,33 - A,TUTTI,VECCHIANO
PETTININI ,42 - A,TUTTI,CALCI
PETTORI ,10 - A,TUTTI,CASCINA
PEZZI ENRICO ,5 - A,TUTTI,PISA
PIAGGE ,4 - B,TUTTI,PISA
PIAGGETTA ,6 - A,TUTTI,PISA
PIAGGIA ,13 - A,TUTTI,PISA
PIAGGIA ,33 - B,TUTTI,VECCHIANO
PIAN DI SODA ,42 - B,TUTTI,CALCI
PIANTALBIS ,10 - A,DAL 19 AL 171 DAL 12 AL 128,CASCINA
PIANTALBIS ,9 - B,DAL 1 AL 9,CASCINA
PIASTRONI ,10 - B,DAL 3 AL 125 DAL 40 AL 250,CASCINA
PIASTRONI ,7 - B,DAL 2 AL 60 DAL 1 AL 63,CASCINA
PIAVE ,21 - A,TUTTI,PISA
PIAVOLA A BUTI ,22 - A,TUTTI,PISA
PIAZZINI STEFANO ,28 - A,TUTTI,PISA
PICASSO ,39 - B,TUTTI,SAN GIULIANO TERME
PICCOLOMINI OTTAVIO ,25 - A,TUTTI,PISA
PICOTTI GIOVANNI BATTISTA ,14 - B,TUTTI,PISA
PIEMONTE ,13 - B,TUTTI,PISA
PIERDICINO ,7 - B,TUTTI,PISA
PIERONI ANTONIO ,11 - B,TUTTI,CASCINA
PIETRASANTA ,42 - B,TUTTI,CALCI
PIETRASANTINA ,22 - B,TUTTI,PISA
PIETRASANTINA ,22 - B,TUTTI,SAN GIULIANO TERME
PIETRASANTINA ,31 - B,TUTTI,SAN GIULIANO TERME
PIETRASANTINA ,47,87:123,PISA
PIETRASANTINA ,47,8,SAN GIULIANO TERME
PIEVANO ,41 - A,TUTTI,CALCI
PIEVE ,35 - A,TUTTI,VECCHIANO
PILLA LEOPOLDO ,6 - A,DAL 17 AL 31 DAL 10 AL 72,PISA
PILLA LEOPOLDO ,6 - B,DAL 3 AL 15 DAL 2 AL 6,PISA
PINDEMONTE IPPOLITO ,15 - B,TUTTI,PISA
PINDEMONTE IPPOLITO ,24 - B,TUTTI,SAN GIULIANO TERME
PINI ,32 - B,TUTTI,VECCHIANO
PINI ,38 - B,11,SAN GIULIANO TERME
PINI ,39 - B,7; 9;10,SAN GIULIANO TERME
PINI ,5 - A,TUTTI,PISA
PIOPPI ,26 - A,TUTTI,PISA
PIOPPI ,40 - A,TUTTI,SAN GIULIANO TERME
PIRANDELLO ,15 - A,TUTTI,SAN GIULIANO TERME
PIRONE ,41 - B,TUTTI,CALCI
PISACANE ,38 - B,TUTTI,SAN GIULIANO TERME
PISACANE CARLO ,6 - B,TUTTI,PISA
PISANO ANDREA ,21 - B,TUTTI,PISA
PISANO ANDREA ,36 - B,TUTTI,SAN GIULIANO TERME
PISANO ANDREA ,47,120,PISA
PISANO ANTONIO DETTO PISANELLO ,22 - A,TUTTI,PISA
PISANO GIOVANNI ,20 - A,TUTTI,PISA
PISANO GIUNTA ,21 - B,TUTTI,PISA
PISANO NICOLA ,19 - A,TUTTI,PISA
PISANO NINO ,29 - A,TUTTI,PISA
PISANO NINO ,47,3,PISA
PISANO TOMMASO ,21 - A,TUTTI,PISA
PISORNO ,25 - A,DAL 9 AL 57 DAL 6 AL 66,PISA
PISORNO ,26 - B,5; 7,PISA
PISTELLI NICOLA ,12 - A,TUTTI,CASCINA
PISTOLESI ENRICO ,14 - A,SNC,PISA
PIZZARELLO SALVATORE ,13 - B,TUTTI,PISA
PLATANI ,25 - B,TUTTI,PISA
PO ,22 - B,TUTTI,PISA
PODERE DELL'ORTO ,38 - B,TUTTI,SAN GIULIANO TERME
PODERI DEL PINO ,19 - B,TUTTI,PISA
POERIO ALESSANDRO ,1 - B,TUTTI,PISA
POGGERE ,10 - B,TUTTI,CASCINA
POGGIO ,34 - A,TUTTI,VECCHIANO
POGGIO ,42 - B,TUTTI,CALCI
POGGIO BRACCIOLINI ,17 - B,TUTTI,SAN GIULIANO TERME
POGGIO DELLA PROPOSITURA ,41 - A,TUTTI,CALCI
POGGIO NUOVO ,31 - B,TUTTI,SAN GIULIANO TERME
POGGIOLO ,7 - A,TUTTI,PISA
POLLA ,40 - B,TUTTI,SAN GIULIANO TERME
POLO MARCO ,2 - A,TUTTI,PISA
PONCHIELLI ,36 - A,TUTTI,SAN GIULIANO TERME
PONTE A PIGLIERI ,29 - A,6.8,PISA
PONTE A PIGLIERI ,47,2,PISA
PONTE DELL'AMMIRAGLIO ,7 - A,TUTTI,PISA
PONTECORVO BRUNO ,33 - B,TUTTI,VECCHIANO
PONTECORVO BRUNO ,44,TUTTI,PISA
PONTECORVO PELLEGRINO ,44,5,PISA
PONTECORVO PELLEGRINO ,5 - B,TUTTI,PISA
PONTICELLI ,8 - A,TUTTI,PISA
POPOLO ,36 - B,TUTTI,SAN GIULIANO TERME
PORCARI ,25 - B,TUTTI,PISA
PORTA A MARE ,29 - A,TUTTI,PISA
PORTA A MARE ,47,12,PISA
PORTA CARLO ,24 - A,TUTTI,PISA
PORTA CARLO ,24 - B,TUTTI,SAN GIULIANO TERME
PORTA DOLFI ,3 - A,TUTTI,PISA
PORTON ROSSO ,23 - A,TUTTI,PISA
POSCHI ,16 - B,TUTTI,PISA
POSSENTI ITALO ,1 - B,TUTTI,PISA
POSSENTI ITALO ,40 - B,TUTTI,SAN GIULIANO TERME
POZZETTO ,16 - A,TUTTI,PISA
PRAMPOLINI CAMILLO ,19 - B,TUTTI,PISA
PRATA ,35 - A,TUTTI,VECCHIANO
PRATAGLIA ,5 - B,TUTTI,PISA
PRATALE ,12 - B,TUTTI,CASCINA
PRATALE ,15 - A,DAL 85/A AL 109 DAL 46 AL  78,PISA
PRATALE ,18 - A,DAL 1 AL 75 DAL 2 AL 44,PISA
PRATAVECCHIE ,32 - B,TUTTI,VECCHIANO
PRATELLO ,12 - A,TUTTI,CASCINA
PRATO CERAGIOLA ,41 - B,TUTTI,CALCI
PRATOLINI ,37 - B,TUTTI,SAN GIULIANO TERME
PREITE LUIGI ,9 - B,TUTTI,CASCINA
PRIMALBELLO ,6 - B,TUTTI,PISA
PRIMO MAGGIO ,21 - B,TUTTI,PISA
PRINETTI PADRE FELICE ,4 - B,TUTTI,PISA
PROFETI ALBERTO ,11 - A,TUTTI,CASCINA
PROPOSITURA ,41 - A,TUTTI,CALCI
PROPOSITURA ,41 - A,TUTTI,CALCI
PRUNICCIO ,32 - B,TUTTI,VECCHIANO
PRUNO ,41 - B,TUTTI,CALCI
PUCCINI GIACOMO ,15 - A,TUTTI,SAN GIULIANO TERME
PUCCINI GIACOMO ,2 - A,TUTTI,PISA
PUCCINI GIACOMO ,35 - B,TUTTI,VECCHIANO
PUGLIA ,13 - B,TUTTI,PISA
PULCI LUIGI ,36 - B,TUTTI,SAN GIULIANO TERME
PUNGILUPO ,13 - A,TUTTI,PISA
PUNTA PISANA ,33 - A,TUTTI,VECCHIANO
PUNTATA ,24 - B,TUTTI,SAN GIULIANO TERME
PUNTONI ,43 - B,TUTTI,SAN GIULIANO TERME
PUTIGNANO ,6 - B,DAL 1 AL 409 DAL 2 AL 380,PISA
PUTIGNANO ,8 - A,DAL 5 AL 85 DAL 10 AL 106/A,PISA
QUADRIO MAURIZIO ,6 - A,TUTTI,PISA
QUALQUONIA ,3 - A,TUTTI,PISA
QUARANTOLA ,1 - A,DAL 1 AL  33 DAL 2 AL 28,PISA
QUARANTOLA ,29 - A,DAL 37 AL 45 DAL 30 AL 60,PISA
QUARANTOTTI ,23 - A,SNC,PISA
QUARTO ,12 - A,DAL 1 AL 37 DAL 2 AL 42,CASCINA
QUARTO ,12 - B,DAL 48 AL 56,CASCINA
QUARTO ,7 - A,TUTTI,PISA
QUASIMODO ,15 - A,TUTTI,SAN GIULIANO TERME
QUASIMODO SALVATORE ,15 - B,SNC,PISA
QUATTRO NOVEMBRE ,21 - A,TUTTI,PISA
QUATTRO NOVEMBRE ,35 - B,TUTTI,VECCHIANO
QUEIROLO GIAN BATTISTA ,2 - B,TUTTI,PISA
QUERCIA ,37 - B,TUTTI,SAN GIULIANO TERME
QUERCIOLE ,26 - A,TUTTI,PISA
QUERCIOLE ,32 - B,TUTTI,VECCHIANO
RADI GUIDO ,22 - A,TUTTI,PISA
RADICATA ,35 - A,TUTTI,VECCHIANO
RAGGHIANTI CARLO LUDOVICO ,5 - A,TUTTI,PISA
RAGLIANTI LIBERO ,6 - A,TUTTI,PISA
RAGNAIA ,40 - B,TUTTI,SAN GIULIANO TERME
RAGNAINO ,28 - B,TUTTI,PISA
RAINALDO ,4 - B,TUTTI,PISA
RAMO ,36 - A,TUTTI,SAN GIULIANO TERME
RANDACCIO GIOVANNI ,24 - B,TUTTI,PISA
RASETTI FRANCO ,43 - A,TUTTI,SAN GIULIANO TERME
RAVENNA ,21 - A,TUTTI,PISA
RAVENNA CIRO ,21 - B,TUTTI,PISA
RAVERA CAMILLA ,43 - B,SNC,SAN GIULIANO TERME
RAVERA CAMILLA ,9 - B,TUTTI,CASCINA
RAVIZZA GIUSEPPE ,5 - B,TUTTI,PISA
RAZZI GIROLAMO ,15 - B,TUTTI,PISA
REDI FRANCESCO ,14 - B,TUTTI,PISA
REDI FRANCESCO ,22 - A,TUTTI,SAN GIULIANO TERME
REGINA ELENA ,28 - B,TUTTI,PISA
RENAINO ,5 - A,TUTTI,PISA
RENE ,25 - A,DAL 1 AL 65 DAL 2 AL 56,PISA
RENE ,5 - A,DAL 71 AL 121,PISA
REPETTI EMANUELE ,28 - A,TUTTI,PISA
REPETTI EMANUELE ,37 - B,TUTTI,SAN GIULIANO TERME
REPUBBLICA ,18 - B,TUTTI,
REPUBBLICA ,41 - A,TUTTI,CALCI
REPUBBLICA ,44,5,PISA
REPUBBLICA PISANA ,27 - B,TUTTI,PISA
REPUBBLICA PISANA ,47,45/A,PISA
REZZANO ,42 - B,TUTTI,CALCI
RICCIARDI ,3 - B,TUTTI,PISA
RICUCCHI ,19 - A,TUTTI,PISA
RIDOLFI COSIMO ,4 - B,TUTTI,PISA
RIDOLFI COSIMO ,49,10,PISA
RIGATTIERI ,16 - A,TUTTI,PISA
RIGHI AUGUSTO ,5 - B,TUTTI,PISA
RIMEDIOTTI ,16 - A,TUTTI,PISA
RIMINALDI ,18 - A,TUTTI,PISA
RINDI UGO ,21 - A,TUTTI,PISA
RINUCCINI ,31 - A,TUTTI,SAN GIULIANO TERME
RIPAIOLA ,7 - A,TUTTI,PISA
RIPOLI ,10 - B,TUTTI,CASCINA
RISECCOLI ,41 - B,TUTTI,CALCI
RISMONDO FRANCESCO ,20 - B,TUTTI,PISA
RISORGIMENTO ,19 - A,TUTTI,PISA
RISORTI ,23 - B,TUTTI,PISA
RIVIERA ,26 - B,TUTTI,PISA
RIZZO LUIGI ,24 - B,TUTTI,PISA
RIZZOTTO PLACIDO ,33 - A,TUTTI,VECCHIANO
ROCCA ,34 - B,TUTTI,VECCHIANO
RODARI GIANNI ,37 - B,TUTTI,SAN GIULIANO TERME
RODARI GIANNI ,37 - B,TUTTI,SAN GIULIANO TERME
ROMA ,19 - A,TUTTI,PISA
ROMA ,35 - B,TUTTI,VECCHIANO
ROMA ,39 - B,TUTTI,SAN GIULIANO TERME
ROMA ,41 - A,DAL 1 AL 101 DAL 6 AL 88,CALCI
ROMA ,42 - B,79,CALCI
ROMA ,45,55/B,PISA
ROMA ,45,78,PISA
ROMAGNA ,13 - B,TUTTI,PISA
ROMAGNOSI ,24 - B,TUTTI,SAN GIULIANO TERME
ROMITA GIUSEPPE ,19 - B,TUTTI,PISA
ROMITI GUGLIELMO ,3 - A,TUTTI,PISA
ROMITORIO ,38 - B,TUTTI,SAN GIULIANO TERME
ROMOLI SIRIO ,12 - A,TUTTI,CASCINA
RONCACCIO ,40 - A,SNC,SAN GIULIANO TERME
RONCHI ,42 - B,TUTTI,CALCI
RONCILE ,34 - B,TUTTI,VECCHIANO
RONCIONI ,16 - A,TUTTI,PISA
RONCIONI ,38 - B,SNC,SAN GIULIANO TERME
ROOK TOMMASO ,30 - B,TUTTI,PISA
ROSANICO ,40 - A,TUTTI,SAN GIULIANO TERME
ROSATI LICIA ,40 - B,TUTTI,SAN GIULIANO TERME
ROSE ,26 - B,TUTTI,PISA
ROSE ,43 - B,TUTTI,SAN GIULIANO TERME
ROSELLINI IPPOLITO ,4 - A,TUTTI,PISA
ROSELLINI IPPOLITO ,4 - A,DAL 2 AL 4 DAL 54 AL 118,PISA
ROSELLINI IPPOLITO ,4 - B,DAL 6 AL 42,PISA
ROSI MINO ,19 - B,TUTTI,PISA
ROSINI GIOVANNI ,17 - A,TUTTI,PISA
ROSMINI ANTONIO ,21 - A,TUTTI,PISA
ROSSA GUIDO ,24 - B,TUTTI,PISA
ROSSA GUIDO ,32 - A,TUTTI,VECCHIANO
ROSSELMINI ,2 - B,TUTTI,PISA
ROSSELMINI ,42 - A,TUTTI,CALCI
ROSSI ,35 - A,TUTTI,VECCHIANO
ROSSI CARLO CARDINALE ,6 - B,TUTTI,PISA
ROSSINI GIOACCHINO ,30 - B,TUTTI,PISA
RUBATTINO RAFFAELE ,6 - A,TUTTI,PISA
RUFFINI ,39 - A,TUTTI,SAN GIULIANO TERME
RUFFO TITTA ,3 - B,TUTTI,PISA
RUFFO TITTA ,43 - B,TUTTI,SAN GIULIANO TERME
RUSCHI ,18 - B,TUTTI,PISA
RUSCHI FRANCESCO ,41 - A,DAL 5 AL 129/A DAL 2 AL 172,CALCI
RUSCHI FRANCESCO ,41 - B,DAL 133 AL 145 DAL 174 AL  190,CALCI
RUSSO LUIGI ,14 - B,TUTTI,PISA
SABA ,15 - A,TUTTI,SAN GIULIANO TERME
SABBIONI FRANCESCO ,12 - B,TUTTI,CASCINA
SAFFI AURELIO ,3 - A,TUTTI,PISA
SAINATI GIUSEPPE ,1 - A,TUTTI,PISA
SALCETTI ,34 - B,TUTTI,VECCHIANO
SALEMI ,7 - B,TUTTI,PISA
SALGARI ,43 - A,TUTTI,SAN GIULIANO TERME
SALGARI EMILIO ,43 - A,TUTTI,SAN GIULIANO TERME
SALICI ,26 - A,TUTTI,PISA
SALITA ,41 - A,TUTTI,CALCI
SALVEMINI ,31 - A,TUTTI,SAN GIULIANO TERME
SALVESTRONI CESARE ,22 - A,TUTTI,PISA
SALVIE ,26 - A,TUTTI,PISA
SALVINI GUSTAVO ,27 - B,TUTTI,PISA
SAN BARTOLOMEO ,30 - B,TUTTI,PISA
SAN BENEDETTO ,1 - A,TUTTI,PISA
SAN BERNARDO ,2 - B,TUTTI,PISA
SAN BIAGIO ,13 - A,TUTTI,PISA
SAN BONAVENTURA ,1 - A,TUTTI,PISA
SAN CATALDO ,14 - A,TUTTI,PISA
SAN CONCORDIO ,30 - B,TUTTI,PISA
SAN COSIMO ,3 - B,TUTTI,PISA
SAN DOMENICO ,2 - B,TUTTI,PISA
SAN DONATO ,10 - A,TUTTI,CASCINA
SAN DONATO ,41 - B,TUTTI,CALCI
SAN DONNINO ,1 - A,TUTTI,PISA
SAN ERMOLAO ,41 - B,TUTTI,CALCI
SAN FELICE DI NOLA ,16 - B,TUTTI,PISA
SAN FRANCESCO ,18 - B,TUTTI,PISA
SAN FRANCESCO ,18 - B,TUTTI,PISA
SAN FRANCESCO ,44,52,PISA
SAN FRANCESCO D'ASSISI ,37 - A,TUTTI,SAN GIULIANO TERME
SAN FREDIANO ,23 - A,TUTTI,PISA
SAN FREDIANO ,34 - A,TUTTI,VECCHIANO
SAN FREDIANO ,45,4,PISA
SAN GIACOMO ,40 - B,TUTTI,SAN GIULIANO TERME
SAN GIORGIO ,23 - B,TUTTI,PISA
SAN GIOVANNI ,36 - B,TUTTI,SAN GIULIANO TERME
SAN GIOVANNI AL GATANO ,29 - A,TUTTI,PISA
SAN GIOVANNI BOSCO ,18 - A,TUTTI,PISA
SAN GIOVANNI BOSCO ,44,43,PISA
SAN GIUSEPPE ,23 - A,TUTTI,PISA
SAN GIUSEPPE BENEDETTO COTTOLENGO ,3 - B,TUTTI,PISA
SAN GIUSTO ,1 - B,TUTTI,PISA
SAN GUIDO ,26 - B,TUTTI,PISA
SAN JACOPO ,22 - A,TUTTI,PISA
SAN JACOPO ,50,63,PISA
SAN LORENZINO ,2 - B,TUTTI,PISA
SAN LORENZO ,18 - B,TUTTI,PISA
SAN LORENZO ,42 - B,TUTTI,CALCI
SAN LORENZO ,44,81,PISA
SAN LUCA ,16 - A,TUTTI,PISA
SAN LUCA ,41 - B,TUTTI,CALCI
SAN LUIGI ,39 - B,TUTTI,SAN GIULIANO TERME
SAN LUSSORIO ,21 - B,TUTTI,PISA
SAN MARCO ,1 - B,TUTTI,PISA
SAN MARTINO ,2 - B,TUTTI,PISA
SAN MARTINO ,2 - B,TUTTI,PISA
SAN MARTINO ,42 - B,TUTTI,CALCI
SAN MARTINO ,45,46,PISA
SAN MASSIMILIANO KOLBE ,32 - B,TUTTI,VECCHIANO
SAN MATTEO IN SOARTA ,16 - A,TUTTI,PISA
SAN MAURIZIO ,35 - A,TUTTI,VECCHIANO
SAN MICHELE DEGLI SCALZI ,4 - B,TUTTI,PISA
SAN MICHELE DEGLI SCALZI ,49,73,PISA
SAN NICOLA ,23 - B,TUTTI,PISA
SAN PAOLO ,3 - A,TUTTI,PISA
SAN PAOLO A RIPA D'ARNO ,3 - A,TUTTI,PISA
SAN PAOLO ALL'ORTO ,16 - B,TUTTI,PISA
SAN PIERINO ,16 - A,TUTTI,PISA
SAN PIERO ,42 - A,TUTTI,CALCI
SAN PIETRO ,28 - A,TUTTI,PISA
SAN PIETRO ,41 - A,TUTTI,CALCI
SAN PIO DA PIETRELCINA ,13 - A,TUTTI,PISA
SAN RANIERI ,30 - B,SNC,PISA
SAN RANIERINO ,23 - A,TUTTI,PISA
SAN ROCCO ,40 - A,DAL 1 AL 13 DAL 2 AL 14/H,SAN GIULIANO TERME
SAN ROCCO ,40 - B,DAL 13/A AL 87 DAL 16 AL 78,SAN GIULIANO TERME
SAN ROCCO ,50,22,SAN GIULIANO TERME
SAN ROSSORE ,47,SNC,PISA
SAN SEPOLCRO ,2 - B,TUTTI,PISA
SAN SILVESTRO ,17 - A,TUTTI,PISA
SAN SIMONE ,23 - A,TUTTI,PISA
SAN SISTO ,10 - B,TUTTI,CASCINA
SAN TOMMASO ,23 - A,TUTTI,PISA
SAN VITO ,19 - A,TUTTI,PISA
SAN VITO ,42 - B,TUTTI,CALCI
SAN ZENO ,18 - B,TUTTI,PISA
SAN ZENO ,39 - A,TUTTI,SAN GIULIANO TERME
SANAC ,29 - A,TUTTI,PISA
SANCASCIANI SIMONE ,2 - B,TUTTI,PISA
SANGUIGNO ,13 - A,TUTTI,PISA
SANNAZZARO ,17 - B,TUTTI,SAN GIULIANO TERME
SANTA BIBBIANA ,16 - A,TUTTI,PISA
SANTA BIBBIANA ,44,11,PISA
SANTA BONA ,1 - B,TUTTI,PISA
SANTA CATERINA ,18 - B,TUTTI,PISA
SANTA CATERINA ,18 - B,TUTTI,PISA
SANTA CATERINA ,41 - B,TUTTI,CALCI
SANTA CECILIA ,18 - B,TUTTI,PISA
SANTA CECILIA ,44,3,PISA
SANTA CROCE IN FOSSABANDA ,4 - B,TUTTI,PISA
SANTA LUCIA ,10 - B,TUTTI,CASCINA
SANTA LUCIA ,19 - A,TUTTI,PISA
SANTA LUCIA ,41 - B,TUTTI,CALCI
SANTA MARGHERITA ,23 - A,TUTTI,PISA
SANTA MARIA ,23 - B,TUTTI,PISA
SANTA MARIA ,41 - B,TUTTI,CALCI
SANTA MARIA ,45,15;53;55;67;85;155,PISA
SANTA MARIA ,45,8;36;44,PISA
SANTA MARTA ,16 - A,TUTTI,PISA
SANTA ROSA ,36 - A,TUTTI,SAN GIULIANO TERME
SANT'AGATA ,42 - B,TUTTI,CALCI
