via,zona,numeri,citta
CAMMEO CARLO ,9 - B,DAL 1 AL 85 DAL 4 AL 86,CASCINA
CAMMEO CARLO SALOMONE ,21 - A,TUTTI,PISA
CAMPALDO ,22 - B,TUTTI,PISA
CAMPANA ,40 - B,TUTTI,SAN GIULIANO TERME
CAMPANIA ,13 - B,TUTTI,PISA
CAMPANILE ,37 - B,TUTTI,SAN GIULIANO TERME
CAMPI ELISI ,7 - B,TUTTI,PISA
CAMPIGIANA ,5 - B,TUTTI,PISA
CAMPO ALL'ORZO ,5 - A,TUTTI,PISA
CAMPODAVELA ,47,TUTTI,PISA
CAMPOLUNGO ,39 - A,TUTTI,SAN GIULIANO TERME
CANAPIGLIA ,32 - A,TUTTI,VECCHIANO
CANAVARI MARIO ,15 - B,TUTTI,PISA
CANAVARI MARIO ,44,27,PISA
CANEVARI ,17 - A,TUTTI,PISA
CANNICCI ,1 - B,TUTTI,PISA
CANNIZZARO STANISLAO ,46,5,PISA
CANNIZZARO STANISLAO ,46,2,PISA
CANNIZZARO STANISLAO ,5 - B,TUTTI,PISA
CANOVA ,38 - B,TUTTI,SAN GIULIANO TERME
CANTANI ARNALDO ,37 - B,TUTTI,SAN GIULIANO TERME
CANTINI ,42 - A,TUTTI,CALCI
CANTONE ,39 - A,TUTTI,SAN GIULIANO TERME
CAPANNE ,38 - B,TUTTI,SAN GIULIANO TERME
CAPANNELLE ,8 - B,TUTTI,PISA
CAPANNONE ,19 - B,TUTTI,PISA
CAPANNONE ,34 - B,TUTTI,VECCHIANO
CAPELVENERE ,25 - B,TUTTI,PISA
CAPITETA ,5 - B,TUTTI,PISA
CAPPELLANI ,5 - A,TUTTI,PISA
CAPPELLO ,3 - B,TUTTI,PISA
CAPPONI FERDINANDO CARDINALE ,23 - A,TUTTI,PISA
CAPPUCCINI ,1 - A,TUTTI,PISA
CAPRERA ,8 - B,DAL 1 AL 59,PISA
CAPRERA ,8 - B,DAL 2 AL 118,PISA
CAPRI ,29 - B,TUTTI,PISA
CAPRILE ,41 - B,TUTTI,CALCI
CAPRONA,41 - A,6;7;1,CALCI
CAPUANA LUIGI ,17 - B,TUTTI,SAN GIULIANO TERME
CARABOTAIA ,3 - A,TUTTI,PISA
CARAVAGGIO ,30 - A,TUTTI,PISA
CARDETA ,31 - A,TUTTI,SAN GIULIANO TERME
CARDI LUIGI ,31 - B,TUTTI,SAN GIULIANO TERME
CARDUCCI ,33 - B,TUTTI,VECCHIANO
CARDUCCI ,41 - A,TUTTI,CALCI
CARDUCCI GIOSUE' ,15 - A,DAL 1 AL 51/A DAL 2 AL 66,SAN GIULIANO TERME
CARDUCCI GIOSUE' ,16 - B,DAL 1 AL 83 DAL 2 AL 40,PISA
CARDUCCI GIOSUE' ,34 - A,TUTTI,VECCHIANO
CARDUCCI GIOSUE' ,48,62,SAN GIULIANO TERME
CARIOLA ,6 - A,TUTTI,PISA
CARLINI SPARTACO ,15 - B,TUTTI,PISA
CARMIGNANI EGIDIO ,32 - B,TUTTI,VECCHIANO
CARMIGNANI GIOVANNI ,16 - B,TUTTI,PISA
CARMINE ,2 - B,TUTTI,PISA
CARNELUTTI FRANCESCO ,14 - A,TUTTI,PISA
CARNERA PRIMO ,33 - A,TUTTI,VECCHIANO
CARPITA ,12 - B,TUTTI,CASCINA
CARRAIA ,17 - B,SNC,SAN GIULIANO TERME
CARRAIA BASSA ,36 - A,DAL 1/A AL 1/L,SAN GIULIANO TERME
CARRAIA BASSA ,36 - B, DAL 1/H AL 9 DAL 4 AL 20,SAN GIULIANO TERME
CARRARA FRANCESCO ,23 - B,TUTTI,PISA
CARRARECCIA ,6 - A,TUTTI,PISA
CARUSO ENRICO ,38 - A,TUTTI,SAN GIULIANO TERME
CARUSO GIROLAMO ,21 - B,DAL 1 AL 29 DAL 2 AL 12,PISA
CARUSO GIROLAMO ,47,8,PISA
CARUSO GIROLAMO ,47,16,PISA
CASA ROSSA ,28 - B,TUTTI,PISA
CASACCIA ,41 - B,SNC,CALCI
CASALE DI VALLE ,40 - A,TUTTI,SAN GIULIANO TERME
CASALINE ,41 - B,TUTTI,CALCI
CASAMANNA ,41 - B,TUTTI,CALCI
CASAPIERI ,34 - A,DAL 1 AL 69 DAL 8 AL 112,VECCHIANO
CASAPIERI ,35 - A,DAL 75 AL 215 DAL 74 AL 124,VECCHIANO
CASAROSA NEVILIO ,22 - A,TUTTI,PISA
CASAROSA NEVILIO ,39 - B,TUTTI,SAN GIULIANO TERME
CASCIAVOLA ,11 - B,TUTTI,CASCINA
CASCINE ,19 - B,TUTTI,PISA
CASCINE NUOVE ,47,SNC,PISA
CASCINE VECCHIE ,47,TUTTI,PISA
CASE DIPINTE ,16 - B,TUTTI,PISA
CASE MEDICEE ,21 - B,TUTTI,PISA
CASE NUOVE ,32 - B,TUTTI,VECCHIANO
CASE ROSSE ,40 - A,TUTTI,SAN GIULIANO TERME
CASELLA GIACINTO ,34 - B,TUTTI,VECCHIANO
CASELLI CRESCENTINO ,38 - A,TUTTI,SAN GIULIANO TERME
CASELLO FERROVIARIO ,20 - B,TUTTI,SAN GIULIANO TERME
CASETTA ,41 - B,TUTTI,CALCI
CASETTE ,40 - A,TUTTI,SAN GIULIANO TERME
CASINA ,38 - A,TUTTI,SAN GIULIANO TERME
CASONE ,25 - B,TUTTI,PISA
CASONE ,35 - A,TUTTI,VECCHIANO
